	Bac.1.H.A.K	Bac.1.H.A.L	Bac.1.H.A.M	Bac.1.H.B.K	Bac.1.H.B.L	Bac.1.H.B.M	Bac.1.H.C.K	Bac.1.H.C.L	Bac.1.H.C.M	Bac.1.H.D.K	Bac.1.H.D.L	Bac.1.H.D.M	Bac.1.P.A.K	Bac.1.P.A.L	Bac.1.P.A.M	Bac.1.P.B.K	Bac.1.P.B.L	Bac.1.P.B.M	Bac.1.P.C.K	Bac.1.P.C.L	Bac.1.P.C.M	Bac.1.P.D.K	Bac.1.P.D.L	Bac.1.P.D.M	Bac.2.H.A.K	Bac.2.H.A.L	Bac.2.H.A.M	Bac.2.H.B.K	Bac.2.H.B.L	Bac.2.H.B.M	Bac.2.H.C.K	Bac.2.H.C.L	Bac.2.H.C.M	Bac.2.H.D.K	Bac.2.H.D.L	Bac.2.H.D.M	Bac.2.P.A.K	Bac.2.P.A.L	Bac.2.P.A.M	Bac.2.P.B.K	Bac.2.P.B.L	Bac.2.P.B.M	Bac.2.P.C.K	Bac.2.P.C.L	Bac.2.P.C.M	Bac.2.P.D.K	Bac.2.P.D.L	Bac.2.P.D.M	Bac.3.H.A.K	Bac.3.H.A.L	Bac.3.H.A.M	Bac.3.H.B.K	Bac.3.H.B.L	Bac.3.H.B.M	Bac.3.H.C.K	Bac.3.H.C.L	Bac.3.H.C.M	Bac.3.H.D.K	Bac.3.H.D.L	Bac.3.H.D.M	Bac.3.P.A.K	Bac.3.P.A.L	Bac.3.P.A.M	Bac.3.P.B.K	Bac.3.P.B.L	Bac.3.P.B.M	Bac.3.P.C.K	Bac.3.P.C.L	Bac.3.P.C.M	Bac.3.P.D.K	Bac.3.P.D.L	Bac.3.P.D.M
Bac.1.P.B.M	64.52174760046091	64.34401175377155	65.05516963471666	67.24675010491373	64.83936008125076	64.24763551758922	66.51116018852862	65.19079531917934	66.62773799336719	68.6845543685325	69.33473693204166	68.84328828158007	59.00356687199758	60.28463892894203	63.92217500939471	63.80064551213889	61.11826439113813	0.0	62.04249495067567	62.70773595940436	61.79604501559595	62.7047311889516	61.22246932195378	62.43233004465651	65.19913287214253	64.13694569752516	65.41871166096415	63.24592572320102	65.05460633953442	64.26409980335735	63.9916724440813	64.67131694474527	63.02518339756229	65.29492560957289	64.47825019208096	63.87446080530583	62.29925318879301	62.58299008602124	64.75379069617405	62.00293647993194	59.30127081962447	64.16494848584156	63.40847206931161	60.3400075784731	64.1017127017047	64.37933019049181	63.44282994175225	63.13137299620485	64.89431188770935	60.7245695910775	66.90424909211038	60.27304998884592	62.954948107727986	62.42897716718646	64.90903656910395	64.2762940717488	64.01662150548553	65.14389025335518	65.73346878338478	64.73490873792485	63.66959090122874	61.507796574345384	62.3997733912543	61.37382555420002	62.9767073237251	63.87536104399833	66.03063264089468	64.75568724975085	65.67245193917317	65.16936929847049	64.2478729836799	61.164926927613614
Bac.1.P.C.K	65.74122938157487	65.67841721312176	66.00454522253125	66.99934513744509	66.66714495750358	64.9319162398749	66.10511227424703	66.53040219887855	66.07613831293632	69.46354223981635	69.9865777099548	70.39658064623939	62.85925742385671	63.895792354012926	65.41737310841545	62.87196765085731	62.15598841296243	62.04249495067567	0.0	64.68068482031815	63.14757256797774	63.50175883237702	62.35164568868039	64.36883962076774	65.72708308557166	65.63259602274884	66.00601242992775	65.6247306844515	65.40181432690672	64.32115429688372	64.84719265644739	65.77212217352186	64.52117455748913	66.82748218945524	66.12602411644457	65.2069051703154	64.16521589153128	62.70332454916193	63.66350310496976	63.896238738134464	60.747952122611935	65.2374651150047	63.58107768184318	62.01269397110659	64.20777667942845	66.3470246091486	64.70840344502943	63.58476524642526	65.95826142415922	61.23327144792868	67.58098487816568	62.52876325682204	62.95132378018822	62.07703561991611	66.6297675495054	65.65079756930034	66.59637325587448	66.0233463422766	67.28605826169297	65.20464312850316	63.42741453973041	62.387462150627606	63.41851981378863	63.1474310341893	65.16951983214088	63.6239112694668	66.64364862744179	64.93660372488434	66.57724894210322	65.1071229708159	63.91218637545122	63.22021379718699
Bac.1.P.C.L	64.40785242949863	66.1252256408057	65.30281470092912	67.83721942819713	66.01090700782734	65.24281673596336	65.92181854523818	66.92609253577582	66.86157134617056	69.01499272764006	70.29570173222815	69.13938369408145	61.979155908472755	65.39082849528553	64.8253137852657	63.44825816967415	63.774024631888786	62.70773595940436	64.68068482031815	0.0	62.391220092254706	61.95688413463112	63.22958109358461	64.03773447701859	66.45062939792338	65.08287616352399	66.07711189912507	65.89478718348008	64.96923397782837	64.88071050397174	65.3825454669431	66.72994004417565	64.86816318431713	66.02271872351524	65.83285541798865	65.55471982703466	63.81068595615607	64.63860887698058	65.85047777825615	63.90020501696497	61.9333723802908	65.57721614999609	65.05111908876736	61.64894503427403	64.70079496991664	63.112570581325464	65.25501064727631	64.43460655222981	66.33517459286244	63.019744926469905	68.36437723694279	64.0857073682415	65.21723815907598	63.35498094426295	66.64926636516404	64.85879981970479	65.6222991677474	64.88232463727658	66.66234390542004	65.93605396443786	64.42881653687245	64.14536486197125	64.62724293109517	63.990515939872324	66.32771280139258	65.16318135836336	66.53137720877906	65.26130743074975	67.04325088510585	66.99117851068321	65.70566117377943	64.77696196668302
Bac.1.P.C.M	64.73573194150359	65.30785459843321	65.42682392720184	67.08123107229727	64.24270748055687	64.32151538725923	65.3447806828675	66.29593056855542	65.9742083336529	68.45434682959741	69.93829203334941	70.00443698463715	60.173219715942615	63.59026741979987	64.60763019972929	63.40815269131121	61.8808761154062	61.79604501559595	63.14757256797774	62.391220092254706	0.0	61.532717440172966	60.905086655725746	63.20379956887482	65.86859841849021	65.41927919164627	65.61935075252146	64.63345518647566	65.40696824203448	64.49568028632655	64.17149079836895	65.41161726790534	63.34503044962042	66.27954658578712	63.59035460302495	64.66905764878175	63.212465940596005	63.675184201980905	65.39979101964431	61.076641926407646	61.352067963965595	64.01164864716401	63.120062312034726	60.32880014940565	63.88900402125276	64.54237747862389	63.76137190889984	63.645581190669944	65.53390973910669	62.08175550311105	66.82972954145905	63.306460004598954	64.19751603870439	62.52077234530443	65.78909200773275	65.37970877833374	64.36100827892557	64.83974075093379	66.12702961493069	64.73342117423826	65.04508080335813	62.88643198349658	63.40223321376191	62.984186956292604	64.68031650723756	64.30340978060694	64.98322847075191	63.19587542880136	66.18988851914872	63.421202959994	64.88158822651683	63.084118610519084
Bac.1.P.D.K	65.39157365995605	65.40639402462577	65.34371178365984	66.34478013881211	65.88864634333612	65.18324881334507	65.58010117941778	66.35853824346263	67.2934063123107	67.77481991309303	68.71371307881704	69.4418465853503	60.83081300341744	63.96718747401447	64.12694186875726	62.84837958778502	62.52816963556177	62.7047311889516	63.50175883237702	61.95688413463112	61.532717440172966	0.0	60.699007702144904	62.927915694250636	67.30380801720872	65.00242507684138	64.99491970307528	64.23314149778165	64.75323268619316	65.34473671307865	64.02804519645026	66.22766080338839	65.16828127450614	65.54858830811703	65.2290616126318	64.44546307308147	63.7381638149124	63.91497492748912	64.52923746712293	62.54879348690558	60.78540170139102	64.94796432825748	63.9321166868664	61.66281161792646	63.92616850561086	63.05611473557855	63.99503114734026	62.787207370428284	65.68251854264587	61.26518119497369	67.3960728548953	63.40951172210061	64.57242492255452	61.97975445466258	65.03186154144746	64.93696522430261	66.0231915843059	63.697838070482376	65.480304599767	64.61522168478982	64.3928190415438	63.16603125055276	64.43997786470344	64.22581353306045	64.38312267943918	63.27827052341016	65.37989019349224	63.08144967494193	64.97549866122657	64.68103680212425	64.36493022771542	63.22376603139341
Bac.1.P.D.L	64.96181255343926	65.14045491564501	65.61759023322905	68.0695304567916	65.1507978860028	66.02685034646437	65.82224635344873	67.39870830734468	67.18847734711227	68.45807434421555	70.23479357880008	70.62661533032707	59.49140864129738	64.34168789839747	63.67559044467797	63.72566310296389	59.14123298398726	61.22246932195378	62.35164568868039	63.22958109358461	60.905086655725746	60.699007702144904	0.0	63.198949340742075	67.0708390608992	65.81044026313832	66.90270065461577	65.33913553423761	66.58555105107831	65.31492463129658	64.8584516202976	66.41857193617001	65.6582086326144	65.91658995960141	65.80633662647782	65.43629004933882	64.03983238223093	63.79798382120954	65.33484395376942	62.92841622395741	60.72767169072611	65.35821327580932	64.44961331141567	62.44511778671986	65.38049376122716	64.95096997465684	64.6746731836718	64.0542303508146	67.01792366588302	62.054670661126934	68.9657281578184	62.226130222202876	64.38527739402548	62.950818229703444	67.35621056783951	66.06543726518187	66.53778946919502	64.88280986733447	67.29035418612148	65.4157618654067	64.56669734817257	63.18260534132647	62.686538532397606	62.821011546227304	65.00678725149473	63.68921953405711	65.30500864094776	64.53429401478405	66.22814685933825	65.32015680016009	63.97041941924407	62.818593955860734
Bac.1.P.D.M	65.37161221693945	65.00475054903747	64.92631831175015	66.21506410469833	65.72509529008286	65.47272526146476	66.4654228064281	65.8229026447715	66.02883393263664	69.08159478418186	69.70093684333237	69.67676395210871	61.85599539853855	64.11743084176086	66.10834342140076	63.41418636644565	63.154698359530265	62.43233004465651	64.36883962076774	64.03773447701859	63.20379956887482	62.927915694250636	63.198949340742075	0.0	66.33736158646536	64.24880295193104	65.53050556678508	64.75882716668264	65.96211934840355	64.71499665842128	65.4369888510508	66.23466202907521	64.26791361380859	65.95885386110874	65.33984283256689	63.767351718578276	63.659353907802	64.86174878570296	64.27123154811679	62.7707217816073	60.919995975449815	65.81331622520362	64.89243926110018	61.037689502343255	64.62886192384374	64.52826248292764	64.2763808831737	63.50125758657892	65.11194399462208	60.13437269183791	66.9373728575279	62.35437531055756	64.26305159404211	62.23689299666607	65.96676364684623	65.33650230925052	66.09892964474092	65.78106337260141	66.73152027791626	64.01051583183154	63.099020815482874	63.20513042925895	62.22918226987129	63.007893011480796	63.842043040287926	64.03528666135921	66.08022050737114	64.82119660974868	65.31625492469605	66.27444111387003	64.10258304130004	64.08664042847293
Bac.2.H.A.K	66.15648872152616	67.58406120389132	66.0769353587365	67.20684025718559	67.62028916321275	65.62720752166632	68.65080977603833	67.45881489187991	67.22645319761382	71.34621896725395	71.82449516688142	71.34312549378178	63.94576530388355	65.81607375684112	68.27625663884025	66.05616367889691	66.00505000697625	65.19913287214253	65.72708308557166	66.45062939792338	65.86859841849021	67.30380801720872	67.0708390608992	66.33736158646536	0.0	66.08258849170868	66.60566759643955	65.56897775017299	65.34830835912281	66.19348546984698	65.7680461476304	66.81541487119188	65.11295674377692	67.51601232724865	65.95681226804489	65.05555407462182	65.36702906728821	64.6080600742973	66.58711338110983	64.4692724619069	62.2553780953159	66.76584393448888	67.28784593143591	62.91042598592813	65.24445666470194	67.70687986933495	64.95537081659762	65.29130957202078	65.97563113757715	62.825286950520415	67.57934006090038	64.65638569247882	63.8025078452359	64.370875948089	66.8024940397621	66.17249886440204	66.15450831980299	67.51007187144226	67.5216507513306	66.06221871343294	65.11848771498582	64.43951926934079	63.238525676754044	63.367692390736465	65.28433856385038	64.78344163668349	67.05290759873996	66.58700740168965	68.90505056909522	67.79402003049493	67.02570194515073	66.11258223640907
Bac.2.H.A.L	65.2923224245015	65.78405316518429	65.32787680076103	64.92625851949337	66.17085626454042	64.72804725889755	66.68044375294454	65.40184162651971	64.96707241751224	69.65039135086012	70.25360918416058	69.97799065671131	63.73125272976082	65.39343626927861	67.03493537609893	64.51751303109624	66.01871786277256	64.13694569752516	65.63259602274884	65.08287616352399	65.41927919164627	65.00242507684138	65.81044026313832	64.24880295193104	66.08258849170868	0.0	65.78966554687209	64.60063908660533	64.16136769201924	64.60631736492942	64.38380158760701	65.03525954420955	64.00475500348747	66.43990587024223	65.50415929277447	64.78956934574074	64.94754747582152	64.17148937192728	64.5378716909102	63.754917185595396	62.10397563082147	65.95943043928213	65.15712675023758	61.51490880138867	65.60693544833522	66.11778148284063	64.540156573821	64.03438188455712	65.38799488889269	60.957231348968605	67.44668097773449	62.482857364211924	62.953545445764085	62.5405371810247	64.97565474479399	63.58905024790823	64.56983243522761	64.68650207783612	64.87171561877116	64.3129277194226	64.26377680758323	63.92271886911914	62.672114140290255	63.069056166597896	64.99881014299991	64.54405466913687	66.97289822301614	64.67960414153013	66.18523871788216	65.83010145100089	65.25355788438	65.45219245245265
Bac.2.H.A.M	66.69239955548129	67.50679829967486	66.33570455866885	67.89792118993174	67.65741330430235	66.29097625358877	66.48166662246354	66.55930819992494	65.84252656202659	70.59903197802527	70.83218942430635	70.12888798688935	64.2074968459441	65.66507574681084	68.34723473945274	64.7021519142703	65.94474594914327	65.41871166096415	66.00601242992775	66.07711189912507	65.61935075252146	64.99491970307528	66.90270065461577	65.53050556678508	66.60566759643955	65.78966554687209	0.0	64.66409038946615	65.53741912055112	64.52863769090038	64.22679772533827	67.20570146616903	63.474060403252174	66.39723165441572	66.07041373975676	64.52122618859242	64.70598296858552	64.42163722918374	65.48867734590186	62.88368359534699	61.2605854561066	66.01046325093029	65.7961682557242	62.78593207319537	65.02839827623197	66.2722739441663	65.02532053535572	63.01114849405443	66.39705810521397	62.05641524548174	67.38389839083948	63.294173328666965	65.5897725949741	64.01575853838888	65.93263216017125	65.3384789628805	65.82073730581041	66.26488784723794	66.72239797165044	65.7424283059294	63.819107206603945	63.25590780782605	63.70492355828677	63.650907834421744	64.02374348921416	64.2121409605084	67.65098784067908	66.24924233656321	66.5275755851996	66.58654819653756	65.37011465725831	64.05375422302102
Bac.2.H.B.K	64.94316275819546	65.66539483132722	64.37460618665094	66.28743307769763	66.77553235781221	64.16134590360478	66.3565583991686	64.05503962341811	66.48870392765599	69.92417858282373	69.23770253977555	69.0279377696651	62.51921445661687	63.52815502055944	67.33431395666291	65.1325393532433	65.52480505310905	63.24592572320102	65.6247306844515	65.89478718348008	64.63345518647566	64.23314149778165	65.33913553423761	64.75882716668264	65.56897775017299	64.60063908660533	64.66409038946615	0.0	63.49179614792494	63.72948251348886	62.94620741873421	64.92453485150202	62.61219524543454	66.17054692975529	64.06934014409423	65.2757896959663	64.21754352417743	63.79592228892139	64.57684697769568	63.04938137952214	60.91457995917161	64.58701115981307	66.21144327135453	60.5039979084475	64.67839879458805	65.67634052127273	63.543110294816714	64.06685605129445	63.516661429579514	60.70922671191521	66.44792179974642	62.278027602006986	62.71959300489723	61.38111190943063	65.37356773885027	63.90030611543035	65.10581423081744	64.00268582600657	64.79135702190761	63.90549972696245	62.42551503529886	61.669814994209396	63.247068211130085	63.55087639240157	63.89974559591618	64.23448134425914	65.53886672734711	64.22146236426605	65.2393977740345	66.42620501142733	64.32514269119353	63.33945191376912
Bac.2.H.B.L	65.35293551562853	66.46789177063344	64.67337716613224	66.27408944173746	66.22693173345542	63.93521813397215	65.62460585572569	65.43862664169431	66.87684918112893	70.09529616044652	69.68712915347733	69.66993129697575	64.18315093754467	65.39134532785555	67.48651195231736	64.74180944620313	65.41854434503638	65.05460633953442	65.40181432690672	64.96923397782837	65.40696824203448	64.75323268619316	66.58555105107831	65.96211934840355	65.34830835912281	64.16136769201924	65.53741912055112	63.49179614792494	0.0	65.55829877891516	63.60861709495403	65.34980761206192	63.824641519528484	66.82223030771098	64.79337654187583	63.97840153627281	64.62481332723434	63.68700759767282	63.751633580667274	64.2020536482045	60.70828633818643	64.76462072969137	65.72339999526929	61.08064107209056	64.04308304093625	66.4353531610371	63.12734779099767	63.75584493189636	65.30244680467347	61.677922409197095	65.59184063286865	62.67456852702434	62.881988639351896	62.15916270197011	63.63178387115578	63.0027955740295	64.89531558846726	64.60929386530182	65.30584199852345	64.83132281455099	62.460056061977745	63.460488965813866	63.768131461326426	63.90646303475079	63.66922049490055	64.19662090477829	67.01998299135215	65.38375004021431	66.14397435952627	65.95127340631214	66.81964472368219	64.15874905011725
Bac.2.H.B.M	64.74704116569933	64.93570515552359	65.36321467077431	67.69524093931416	67.0348663441572	64.92867345364333	65.98862238435169	65.2951690471994	66.77832534957474	69.80340166748712	69.79845296793069	69.2327304946056	62.826840727549325	64.32310572205841	66.91395707894382	64.40083005251014	64.47116102435851	64.26409980335735	64.32115429688372	64.88071050397174	64.49568028632655	65.34473671307865	65.31492463129658	64.71499665842128	66.19348546984698	64.60631736492942	64.52863769090038	63.72948251348886	65.55829877891516	0.0	65.2449123423667	66.01599388784258	62.9837618233161	65.29679221420584	65.54054854864327	64.68333968503323	63.89148486398882	63.912987497062424	65.10565185327503	63.27217998594249	60.38946437795897	64.67853833439479	65.51347436258472	62.023160680434884	63.467433394592135	65.81083616384421	64.80463792335863	63.38776872266867	64.68072547781318	61.08975967358896	67.47312442542612	62.04576756886354	64.1724995684639	61.321831021866245	65.01999240445319	65.57797082378352	64.21712795183028	64.94583172079348	66.38270426194538	64.38368853875873	63.986866458966425	62.169102819840475	62.03000045039522	62.11288261258062	64.22680269332886	63.47776339745942	65.85189690688043	63.43015682247246	65.15044586405837	66.21301433121113	64.09842157746917	63.8599451816169
Bac.2.H.C.K	66.49005839493742	66.25383756988154	64.32297088645525	66.27038789042858	66.0037000135834	65.08670561646406	65.241858898308	65.90371024184725	66.47315574146438	69.35321725990649	70.02682028944318	69.4475967762869	63.97324075981753	64.55953091018601	68.01203604709009	64.31739585959126	65.38107559906062	63.9916724440813	64.84719265644739	65.3825454669431	64.17149079836895	64.02804519645026	64.8584516202976	65.4369888510508	65.7680461476304	64.38380158760701	64.22679772533827	62.94620741873421	63.60861709495403	65.2449123423667	0.0	63.523583069358196	63.81586476848854	65.17232621473917	64.17302582481128	64.71850202091873	63.706787444347256	63.618970478682165	64.26465586777411	63.832730886958274	60.80005224238503	64.6331911438422	65.47671744805524	61.20873438865679	64.67234714968608	65.91659375520248	64.54869080744567	63.26707969040906	64.69317814907802	60.447700086715756	66.87776232713085	62.11606787307197	62.910487836518875	62.59844995295582	65.24732251400259	63.40354049654985	63.53297765090515	63.91295953620628	65.1813586135253	63.026749739087926	64.89681565012818	61.744593742908926	63.25747546277738	62.64331062330373	64.0519535924198	64.54899764076949	66.2157980438934	64.85261665728409	65.57085154085638	65.4760307773052	64.98724897450117	64.15854964972505
Bac.2.H.C.L	67.69928848465669	67.35834066829851	66.2509402978055	67.1931243724632	68.23861390404885	66.53733309415136	67.02119638860029	66.03055016839849	67.01836190222059	70.14067123355538	70.61633958312392	70.64199042777594	64.82994089828917	66.04401752949794	68.74260785723209	66.84206947499743	67.0887078657137	64.67131694474527	65.77212217352186	66.72994004417565	65.41161726790534	66.22766080338839	66.41857193617001	66.23466202907521	66.81541487119188	65.03525954420955	67.20570146616903	64.92453485150202	65.34980761206192	66.01599388784258	63.523583069358196	0.0	63.67704071169497	67.1249664794829	65.59250400770074	65.18298378896611	65.05828377014063	65.34990073492999	65.81188668308005	64.41985385756045	63.407903203811074	66.71159784639832	67.07258704809509	63.03816339619739	65.53488860604179	68.08978728727443	65.09048606330234	65.63776562660708	65.70541313337891	62.1471658134956	67.81687274617751	63.542036811790865	63.29516740774969	62.76327049850265	65.09982267367205	64.44409248160333	65.21702357363293	65.51594334171835	65.65159580301793	64.57724719690454	66.16769880138771	64.37914989760378	64.58853346149107	63.41670990662714	65.88419901849832	64.7628095715055	68.07387512660874	66.70021290317885	66.18536737829669	65.19273949999675	66.44005505183752	66.10632314528905
Bac.2.H.C.M	64.79574420090695	65.65913368989084	64.97318554396297	66.09551408708333	66.13839863496167	64.2779518434165	65.50731084324904	64.70428843424786	65.09944457011179	69.05675443571293	69.60093710590228	69.20117293790543	62.8061707640957	63.53065314960739	67.73121629744826	64.26681246939592	64.70451223753469	63.02518339756229	64.52117455748913	64.86816318431713	63.34503044962042	65.16828127450614	65.6582086326144	64.26791361380859	65.11295674377692	64.00475500348747	63.474060403252174	62.61219524543454	63.824641519528484	62.9837618233161	63.81586476848854	63.67704071169497	0.0	65.9630433435827	63.358231484869606	64.07405953021382	64.22546369373468	63.79874194177025	63.49725382110825	61.2999837189213	59.477682909835295	64.49118211689694	64.37999474864252	60.804564925923785	63.58197159894239	65.75787779576437	63.61913048014121	63.61174425026295	64.40077472783103	60.5317434804293	65.74126324556715	62.14282132234732	62.51381332938762	61.70457049860359	64.23594257484544	63.48099373944032	62.87294932358888	63.92864120129571	65.25147016962113	64.44285706528807	63.6731829342039	62.095841152253705	61.68020509229543	62.65814423321508	64.02327443468243	63.31828027012956	66.4747310391936	63.91915825046091	64.29997268108752	64.62610078535064	64.11165744411417	63.49680835746603
Bac.2.H.D.K	66.77807612017523	66.86910653385168	66.24851302755863	69.16731937842218	67.31748297496094	67.12284370883059	66.75737009083065	67.15827492214504	67.55421075071946	70.1540940725951	71.05687364942868	70.93296588266631	63.626266627845915	65.92358093891593	67.52073103304359	65.28234866957929	66.41118976083423	65.29492560957289	66.82748218945524	66.02271872351524	66.27954658578712	65.54858830811703	65.91658995960141	65.95885386110874	67.51601232724865	66.43990587024223	66.39723165441572	66.17054692975529	66.82223030771098	65.29679221420584	65.17232621473917	67.1249664794829	65.9630433435827	0.0	67.22791696550834	66.17398058695169	64.9614320302527	64.6084751918876	65.2290261967954	65.03968621710786	62.25072672103904	66.12235753221687	66.92376097850097	62.793039092120196	65.26612785621583	65.56254403199844	66.4395172549877	65.76665631061776	66.8226884407951	63.47054840591323	69.90436099005488	63.16681682438944	65.87110576741999	62.942338772265025	67.34295852046716	66.04700339184875	66.15381511831256	66.03445981314984	67.8391460608325	65.808462593465	66.64050500606463	63.887760186854926	63.69457939293722	63.60176679931475	66.62733230773107	64.75323608101988	66.63217933257049	66.71195238755931	67.92306558820134	67.98540581057776	66.33707395649101	64.7355375342886
Bac.2.H.D.L	66.31054445025109	65.96921518634984	66.22079150379798	67.08500919308638	67.01931923656507	65.30423044220538	67.19343984602817	66.3424422412712	67.35615350593342	70.10711867618956	70.49998232288716	70.69345390054698	64.18389231253016	65.81295340286277	68.0432705121981	65.92505389713327	64.99731352695224	64.47825019208096	66.12602411644457	65.83285541798865	63.59035460302495	65.2290616126318	65.80633662647782	65.33984283256689	65.95681226804489	65.50415929277447	66.07041373975676	64.06934014409423	64.79337654187583	65.54054854864327	64.17302582481128	65.59250400770074	63.358231484869606	67.22791696550834	0.0	65.44016873890457	65.5896666308565	64.89703812607131	66.06363634914185	64.72944307292309	61.699342964321396	65.18413234302403	66.34401428643065	62.153322159933666	65.17573371297819	66.78876264624029	64.80665191331406	64.42932112292395	65.67669655636703	62.48396436005832	66.92318107747079	62.28139662270449	62.21505613493384	62.321159332648094	65.7130344622622	65.14046739879102	65.2493550937969	65.77904340134558	66.36863687847429	64.52513643868834	65.33656863826577	64.0046558639567	63.72131460344238	63.37570595809908	65.55589053095083	65.45000371873402	67.16612564517433	65.49689267274309	66.30961209599732	65.81676517299702	65.06459280460956	64.83923931794456
