	Bac.1.H.A.K	Bac.1.H.A.L	Bac.1.H.A.M	Bac.1.H.B.K	Bac.1.H.B.L	Bac.1.H.B.M	Bac.1.H.C.K	Bac.1.H.C.L	Bac.1.H.C.M	Bac.1.H.D.K	Bac.1.H.D.L	Bac.1.H.D.M	Bac.1.P.A.K	Bac.1.P.A.L	Bac.1.P.A.M	Bac.1.P.B.K	Bac.1.P.B.L	Bac.1.P.B.M	Bac.1.P.C.K	Bac.1.P.C.L	Bac.1.P.C.M	Bac.1.P.D.K	Bac.1.P.D.L	Bac.1.P.D.M	Bac.2.H.A.K	Bac.2.H.A.L	Bac.2.H.A.M	Bac.2.H.B.K	Bac.2.H.B.L	Bac.2.H.B.M	Bac.2.H.C.K	Bac.2.H.C.L	Bac.2.H.C.M	Bac.2.H.D.K	Bac.2.H.D.L	Bac.2.H.D.M	Bac.2.P.A.K	Bac.2.P.A.L	Bac.2.P.A.M	Bac.2.P.B.K	Bac.2.P.B.L	Bac.2.P.B.M	Bac.2.P.C.K	Bac.2.P.C.L	Bac.2.P.C.M	Bac.2.P.D.K	Bac.2.P.D.L	Bac.2.P.D.M	Bac.3.H.A.K	Bac.3.H.A.L	Bac.3.H.A.M	Bac.3.H.B.K	Bac.3.H.B.L	Bac.3.H.B.M	Bac.3.H.C.K	Bac.3.H.C.L	Bac.3.H.C.M	Bac.3.H.D.K	Bac.3.H.D.L	Bac.3.H.D.M	Bac.3.P.A.K	Bac.3.P.A.L	Bac.3.P.A.M	Bac.3.P.B.K	Bac.3.P.B.L	Bac.3.P.B.M	Bac.3.P.C.K	Bac.3.P.C.L	Bac.3.P.C.M	Bac.3.P.D.K	Bac.3.P.D.L	Bac.3.P.D.M
Bac.2.H.D.M	65.32206784139294	64.55687304162328	64.93636599725984	66.67613328962172	66.87906000738619	64.54922233322856	66.55748616358468	66.38969099620176	65.58680356156997	69.52681497274635	69.22230009269721	69.0346477126058	62.49516415907594	64.83817649873498	66.85605105657993	64.10769013997614	65.01019191039131	63.87446080530583	65.2069051703154	65.55471982703466	64.66905764878175	64.44546307308147	65.43629004933882	63.767351718578276	65.05555407462182	64.78956934574074	64.52122618859242	65.2757896959663	63.97840153627281	64.68333968503323	64.71850202091873	65.18298378896611	64.07405953021382	66.17398058695169	65.44016873890457	0.0	64.2701036967318	63.41738700031977	63.63301986048228	63.06346340921833	60.364261687613016	65.17371310416685	65.02910422146785	60.274649829340355	64.31777844614246	65.18337644387233	63.38404202093995	62.345294712065275	64.4204071564384	61.530977566057636	67.05186049400855	62.50468293711247	64.33834293658542	62.41540155303539	64.29816012762386	64.34481130480337	63.66408545487972	64.66255756139188	65.67448839575542	63.71982742847692	63.1254640012259	62.60632240277216	63.69660355752662	62.18356683712109	63.18873735263439	63.89819743077865	66.73825645577386	65.2585115880156	66.31482344551314	66.11557931221573	64.58909212610168	65.00740551928207
Bac.2.P.A.K	63.814694717013076	64.42587806499368	64.85937807179327	67.43120689094339	65.95411676130657	63.58889447204369	65.16796442375575	65.71281583327377	65.5323864391164	69.04600066641022	69.46711958090688	69.1709465098564	60.322305559653856	63.45580767555266	65.36945425418611	62.80041678652383	63.77277962923367	62.29925318879301	64.16521589153128	63.81068595615607	63.212465940596005	63.7381638149124	64.03983238223093	63.659353907802	65.36702906728821	64.94754747582152	64.70598296858552	64.21754352417743	64.62481332723434	63.89148486398882	63.706787444347256	65.05828377014063	64.22546369373468	64.9614320302527	65.5896666308565	64.2701036967318	0.0	63.40002782870175	63.93094547701441	63.01196708778269	60.36586882534106	65.16258112200663	64.93741691595902	60.04277318997184	64.4219428641013	65.708611724901	62.76462075978891	63.183273054673016	64.98834940859714	61.50747821921223	67.41067171267728	62.08302308817456	64.13235011376602	61.139256400667776	65.23027837218962	65.14181052552996	65.62485294218237	65.33347618708369	65.34674381027205	63.92552357141846	64.79807805083642	61.62346246495103	61.249901521811886	62.426298673113145	64.91987850402889	63.79567934033045	65.3086733396985	63.787824890568984	66.88751960235986	65.82493309397564	63.97719854316732	63.743647664044076
Bac.2.P.A.L	64.28246721556954	64.39174533154579	63.33138510465585	66.23312877584631	66.04379848839665	63.835959161097115	65.17754734599708	64.3062928861286	64.97009817266934	69.73253494919058	68.66778080017333	68.29052524770843	62.32262367511171	63.520466962780226	65.5874151473149	63.05083949835068	63.27552016677168	62.58299008602124	62.70332454916193	64.63860887698058	63.675184201980905	63.91497492748912	63.79798382120954	64.86174878570296	64.6080600742973	64.17148937192728	64.42163722918374	63.79592228892139	63.68700759767282	63.912987497062424	63.618970478682165	65.34990073492999	63.79874194177025	64.6084751918876	64.89703812607131	63.41738700031977	63.40002782870175	0.0	62.82231484659765	61.5025676683524	60.67746219439868	63.190610620529995	64.68936450858462	61.29893697733657	62.980708586620004	64.62652388162061	63.49511141939367	61.800431510259074	65.1801367010898	61.32864570308572	67.2610846398237	60.73800796368676	61.172474192055795	60.871259454602516	65.13936906742079	63.769355716702954	64.82137161326598	64.14034160933618	65.81276251700827	64.3779604791668	63.51905154897542	62.31220407701987	61.42900067462857	61.93707019972197	62.526649607998706	63.242711885358155	63.838789621739714	64.04591114004705	66.15382815941246	65.46274743511387	64.69633136884352	62.677665556075574
Bac.2.P.A.M	65.3110065771759	65.6629827193765	64.10232695530908	67.15077647046569	66.58937900253184	63.96378501185759	64.61278705985356	66.09331352167928	66.1188207142095	68.85835995854333	69.10497672117124	68.72561273751077	63.807157371695716	63.87009304705576	67.26903732103476	63.11045672466079	64.17244949731973	64.75379069617405	63.66350310496976	65.85047777825615	65.39979101964431	64.52923746712293	65.33484395376942	64.27123154811679	66.58711338110983	64.5378716909102	65.48867734590186	64.57684697769568	63.751633580667274	65.10565185327503	64.26465586777411	65.81188668308005	63.49725382110825	65.2290261967954	66.06363634914185	63.63301986048228	63.93094547701441	62.82231484659765	0.0	62.14112242741956	59.08083059280637	63.68170191059792	65.56281244365974	60.970622820925975	64.70442007095824	65.76224840534749	63.894440001425046	63.45291921333961	65.43250712670441	61.65002904977004	66.8670872157121	62.08354210433825	63.27913419824394	62.69169915661358	65.58941298472027	64.0286743576238	64.60414552562202	64.63224978315634	65.27777611767722	64.57240150358173	62.90539052087164	63.97064672292671	63.106630319562726	63.35305684541545	64.15576473645733	63.86525585480765	65.61508319939458	65.23175696690446	66.06013617826791	66.7187719872923	65.30017803668342	64.93377365480542
Bac.2.P.B.K	63.95823493778374	64.70593198453581	63.97156807702892	65.1530393300599	65.2979536302781	63.07039010968747	65.61378589781636	64.11247670425276	64.22859344709704	67.86324485209818	69.23141693202227	68.82238514623124	60.80085975325976	63.07706601625482	65.49637485172444	62.639351334848605	62.86936384081961	62.00293647993194	63.896238738134464	63.90020501696497	61.076641926407646	62.54879348690558	62.92841622395741	62.7707217816073	64.4692724619069	63.754917185595396	62.88368359534699	63.04938137952214	64.2020536482045	63.27217998594249	63.832730886958274	64.41985385756045	61.2999837189213	65.03968621710786	64.72944307292309	63.06346340921833	63.01196708778269	61.5025676683524	62.14112242741956	0.0	59.281058696521725	63.490391790957325	62.57499401062867	59.95307184555576	63.00374776092881	64.00220400018407	62.45711507724628	62.707821149439575	64.33831470708208	59.36804159771833	65.94994943062727	61.47933671319032	63.00802423114762	62.1803739415119	65.47439337643978	63.806002896594244	63.90952078791463	64.36988577173494	65.20393573564743	64.6374220952449	62.36623409950731	62.6192845385024	61.52314192449164	62.37526989930572	63.10527987437334	63.05278777464621	64.73254176196303	63.639207436506894	65.62040323796786	64.02930164079126	63.982477055178315	63.32458211915756
Bac.2.P.B.L	61.76749636147492	63.01807430593693	62.48627391208744	64.51870881563632	62.624579703465194	61.44182427613966	62.07451213165699	62.5071738109574	63.48083537496889	66.19893862822214	66.34437603215298	66.69367263807445	58.92325486660392	61.03422899540198	63.10807015629099	61.22830137179981	59.91050460082347	59.30127081962447	60.747952122611935	61.9333723802908	61.352067963965595	60.78540170139102	60.72767169072611	60.919995975449815	62.2553780953159	62.10397563082147	61.2605854561066	60.91457995917161	60.70828633818643	60.38946437795897	60.80005224238503	63.407903203811074	59.477682909835295	62.25072672103904	61.699342964321396	60.364261687613016	60.36586882534106	60.67746219439868	59.08083059280637	59.281058696521725	0.0	60.67189803362811	61.28631374396622	56.71248968532783	61.44800521633937	62.264435800866174	60.4997651600957	58.86537085230396	62.47104054700577	57.407249914359554	64.32034668278075	58.19740214514389	60.081222592095216	59.738996967877824	62.75023038711828	61.8483050875608	61.28823028996783	62.03963729239995	62.566973355196374	61.756396620169454	59.52507716778314	59.14715114476947	58.77970940557376	59.40123089782666	59.02001043814874	60.193481188565066	63.25912587362295	62.01473947489265	61.991650887299805	63.267205065409456	61.902695133553436	59.83941545450633
Bac.2.P.B.M	65.43474993702259	65.24725750247953	64.50347540396	67.94612187143099	67.62352725774441	64.2227041826443	65.31331705734296	66.06088718850393	67.49626784373203	70.02834660186245	70.21285104694053	70.0315546229818	63.73029756420815	65.55748846236048	67.65292537821279	64.29448270272609	64.90320887524351	64.16494848584156	65.2374651150047	65.57721614999609	64.01164864716401	64.94796432825748	65.35821327580932	65.81331622520362	66.76584393448888	65.95943043928213	66.01046325093029	64.58701115981307	64.76462072969137	64.67853833439479	64.6331911438422	66.71159784639832	64.49118211689694	66.12235753221687	65.18413234302403	65.17371310416685	65.16258112200663	63.190610620529995	63.68170191059792	63.490391790957325	60.67189803362811	0.0	65.7701651544654	60.87585314706185	63.97340429120684	64.89675607636691	64.14088521330376	62.97799034093571	65.3044477780806	62.1550924060685	68.70478732083708	62.45585562336388	63.76318108959002	62.98729104779813	65.78669074001537	64.92499947641211	65.69952051607244	65.21449996592065	66.06459196713001	64.7543650454904	64.64618529372164	63.39227930814058	64.08611676188718	63.28572399162118	63.65996372356467	63.92593832386432	66.63781426239395	64.93202066215935	66.77603764508115	66.915117809402	65.32523159719258	64.48986022609874
Bac.2.P.C.K	66.70837201938707	65.51323319895167	65.2553826865636	67.24728408283933	66.41083232862951	64.50996990545693	66.42743008360696	65.89214675922987	65.56959479946629	69.33655013136602	70.42540727580023	70.0426717958867	62.19590191087889	64.90097962909506	66.18125269672142	64.04903704724762	64.25275613853664	63.40847206931161	63.58107768184318	65.05111908876736	63.120062312034726	63.9321166868664	64.44961331141567	64.89243926110018	67.28784593143591	65.15712675023758	65.7961682557242	66.21144327135453	65.72339999526929	65.51347436258472	65.47671744805524	67.07258704809509	64.37999474864252	66.92376097850097	66.34401428643065	65.02910422146785	64.93741691595902	64.68936450858462	65.56281244365974	62.57499401062867	61.28631374396622	65.7701651544654	0.0	62.83588203779947	63.89194151225951	65.34715645235869	65.15498964954227	63.8278135107339	66.74928257706287	62.525459548195485	67.63391626095822	63.757830881820105	63.849994023223154	63.31446909769894	66.63901052315306	65.739454430581	65.5389376984494	67.02510658787904	66.72725460673377	65.60396997199513	65.41967209326805	62.928477454831366	64.03390007984432	63.486267068605095	66.20565734959727	63.37685416471847	66.85403603355266	64.69383477636852	66.32048944875152	65.37132205759758	64.31057678748161	64.24257769316516
Bac.2.P.C.L	62.73443869914807	62.942231383408945	62.61125840588839	64.47747384583775	63.07642780652464	61.172651558508385	63.39091049488037	62.93465488153868	63.692580886288226	67.30494384534448	66.8321310550688	66.59307678264972	59.44332691734595	61.22891577419363	62.91094132894104	61.0826748169744	61.83371308481251	60.3400075784731	62.01269397110659	61.64894503427403	60.32880014940565	61.66281161792646	62.44511778671986	61.037689502343255	62.91042598592813	61.51490880138867	62.78593207319537	60.5039979084475	61.08064107209056	62.023160680434884	61.20873438865679	63.03816339619739	60.804564925923785	62.793039092120196	62.153322159933666	60.274649829340355	60.04277318997184	61.29893697733657	60.970622820925975	59.95307184555576	56.71248968532783	60.87585314706185	62.83588203779947	0.0	62.179311950353565	61.86665249329099	59.81453296570995	60.64799268391754	62.285651923110855	59.376892173649324	65.10513601400837	59.43308226793989	61.239273869412685	58.99047672708241	62.58113550953528	61.12001634583919	61.8848168428537	62.056630570799	62.36532913660287	62.043179547015214	61.887222311457194	59.426092470185964	60.84096721640843	59.80856158029362	60.696036404069055	60.275697770357596	63.59061039010518	61.48935202201161	63.883116893537775	62.48225049388521	62.38849569379643	61.45992768150029
Bac.2.P.C.M	64.84480624189567	64.84335873826004	64.25255788786254	66.93209651904706	67.52457912116641	64.11266403736929	65.01395531807998	65.73929376032032	65.70001218433833	68.45638553608912	69.79918038884342	69.97574753339056	62.919957855491056	64.61891952042342	66.91986517366881	63.7144841635844	64.58909960444426	64.1017127017047	64.20777667942845	64.70079496991664	63.88900402125276	63.92616850561086	65.38049376122716	64.62886192384374	65.24445666470194	65.60693544833522	65.02839827623197	64.67839879458805	64.04308304093625	63.467433394592135	64.67234714968608	65.53488860604179	63.58197159894239	65.26612785621583	65.17573371297819	64.31777844614246	64.4219428641013	62.980708586620004	64.70442007095824	63.00374776092881	61.44800521633937	63.97340429120684	63.89194151225951	62.179311950353565	0.0	64.53114359037058	64.20855433769638	63.56646810402877	65.08430504346231	61.23388896692454	66.89547246552951	62.426929257937715	63.085414095818074	62.293425753594214	65.25938839540602	64.2788353874671	63.50912347032086	64.41441056250879	66.13350127231818	64.38217908085998	63.24523423852149	62.02794121637268	62.51260386865268	63.49839504963359	64.63634535655723	62.61752168066781	65.75198643952044	64.83897969870415	64.32258121199712	64.0932627010757	64.44000580443247	63.22461094165846
Bac.2.P.D.K	67.12475461378284	65.82859041331872	65.72442539454659	67.59871168590212	67.57440670108869	65.98788019360968	66.38446478249406	66.60973196582381	66.87807172792489	69.02622274001935	69.90176092792883	69.46299725946278	63.3358639273227	66.06967755367968	67.43886522688635	64.34054123582767	65.60381533460034	64.37933019049181	66.3470246091486	63.112570581325464	64.54237747862389	63.05611473557855	64.95096997465684	64.52826248292764	67.70687986933495	66.11778148284063	66.2722739441663	65.67634052127273	66.4353531610371	65.81083616384421	65.91659375520248	68.08978728727443	65.75787779576437	65.56254403199844	66.78876264624029	65.18337644387233	65.708611724901	64.62652388162061	65.76224840534749	64.00220400018407	62.264435800866174	64.89675607636691	65.34715645235869	61.86665249329099	64.53114359037058	0.0	64.64768678138056	64.04164494061334	67.33221582835938	62.78871310548128	69.44499318526793	64.36098828373024	65.12023661497592	63.41003668501137	65.87396515845333	65.41265713212005	66.6108033754755	64.61948876268622	66.38423806993312	65.02270367988535	65.67652143909697	64.39870026907955	64.93870975792152	65.1058389717126	65.08226018680504	64.31961256059674	67.19669369745532	65.10693831822515	66.91967588828375	66.73817705241167	65.50080689856448	64.03489755425845
Bac.2.P.D.L	64.78712059456872	65.24094375981835	64.26118671084744	65.50685093020947	65.78520029661891	63.07499015310115	65.90775222215328	66.55249713032393	65.67448437087232	69.70872675665504	69.92777633728399	69.17485247875022	61.95876657756059	64.13188643500402	67.12205412508376	63.97771320255289	64.124714332972	63.44282994175225	64.70840344502943	65.25501064727631	63.76137190889984	63.99503114734026	64.6746731836718	64.2763808831737	64.95537081659762	64.540156573821	65.02532053535572	63.543110294816714	63.12734779099767	64.80463792335863	64.54869080744567	65.09048606330234	63.61913048014121	66.4395172549877	64.80665191331406	63.38404202093995	62.76462075978891	63.49511141939367	63.894440001425046	62.45711507724628	60.4997651600957	64.14088521330376	65.15498964954227	59.81453296570995	64.20855433769638	64.64768678138056	0.0	62.68274757315542	64.39850444553994	60.089855700088414	66.22576340025554	62.67889496115559	63.38137877540533	61.75597356112444	65.15317359807977	63.44211708348093	64.23160142133203	64.95213416226088	65.16019246967308	62.83328851541009	63.42106220977466	62.918486221114435	62.92674586860646	63.011609784900266	64.3141036694631	64.05771083272752	66.12484191084229	62.96120894910431	66.96411634407276	66.06500478012626	65.67746842690445	64.76043746003663
Bac.2.P.D.M	64.41612516140397	64.0561832610542	64.15676099021789	66.29734712801479	65.92483454003411	64.23648855424204	65.46189660012244	64.940414490809	65.14738301070709	67.69250655342313	68.19633269253319	68.2013061019784	62.042176709126544	64.24334455043866	66.24932473652139	63.03477797946748	62.67004018532488	63.13137299620485	63.58476524642526	64.43460655222981	63.645581190669944	62.787207370428284	64.0542303508146	63.50125758657892	65.29130957202078	64.03438188455712	63.01114849405443	64.06685605129445	63.75584493189636	63.38776872266867	63.26707969040906	65.63776562660708	63.61174425026295	65.76665631061776	64.42932112292395	62.345294712065275	63.183273054673016	61.800431510259074	63.45291921333961	62.707821149439575	58.86537085230396	62.97799034093571	63.8278135107339	60.64799268391754	63.56646810402877	64.04164494061334	62.68274757315542	0.0	65.12498133775206	59.92540617924715	66.7072560358507	61.28247488835482	62.09149819908537	61.29602372596665	64.6666283784175	63.22040489584247	64.55916737107749	63.20461409183827	65.0579508022845	62.88416876106596	62.99344894693376	61.28076335905215	61.53191332014298	61.545496652633	62.32363215687244	63.146263115518764	64.51882405761843	62.93860597669182	64.62656093934524	66.10388935530125	63.11045967272482	62.79516313226821
Bac.3.H.A.K	66.41094614143191	65.95013244937282	65.09691701405072	67.2279391023457	67.87835853335687	66.20660039864299	67.60763411809702	66.3888175320338	67.2167758210764	70.69878627943321	70.55081590088984	69.90091577264552	63.7532671363748	64.7843658931885	68.83333850344191	65.87283954318629	66.41022679910418	64.89431188770935	65.95826142415922	66.33517459286244	65.53390973910669	65.68251854264587	67.01792366588302	65.11194399462208	65.97563113757715	65.38799488889269	66.39705810521397	63.516661429579514	65.30244680467347	64.68072547781318	64.69317814907802	65.70541313337891	64.40077472783103	66.8226884407951	65.67669655636703	64.4204071564384	64.98834940859714	65.1801367010898	65.43250712670441	64.33831470708208	62.47104054700577	65.3044477780806	66.74928257706287	62.285651923110855	65.08430504346231	67.33221582835938	64.39850444553994	65.12498133775206	0.0	61.16778152685882	66.48377019019638	63.76992033860514	64.34692760197703	62.136359279968126	65.83124726636832	64.79267520250957	65.45103206131813	65.60570290644698	66.66656579547994	64.54119779820094	63.744167829402926	63.17615499087695	63.46590267192879	63.36030344063632	65.1223231329309	65.21246927760888	66.38274170176238	65.09490962778568	66.83455420565352	66.61482963073428	65.60741397591413	65.33104324671758
Bac.3.H.A.L	62.888192561307015	63.189600787401154	61.567133163635745	62.5588226559989	62.96323048276136	61.49855972118763	64.10508306363681	62.34028784361952	62.43233780956047	66.73273835064438	66.53655431621641	66.66513138106424	59.83179450962779	61.46946768213948	64.66099699222457	61.08584414891829	62.02430483086452	60.7245695910775	61.23327144792868	63.019744926469905	62.08175550311105	61.26518119497369	62.054670661126934	60.13437269183791	62.825286950520415	60.957231348968605	62.05641524548174	60.70922671191521	61.677922409197095	61.08975967358896	60.447700086715756	62.1471658134956	60.5317434804293	63.47054840591323	62.48396436005832	61.530977566057636	61.50747821921223	61.32864570308572	61.65002904977004	59.36804159771833	57.407249914359554	62.1550924060685	62.525459548195485	59.376892173649324	61.23388896692454	62.78871310548128	60.089855700088414	59.92540617924715	61.16778152685882	0.0	62.785093493687754	57.80239269190248	59.69779213109131	59.53364556018402	63.15480082035371	60.898105313013396	62.059384829455034	61.230710604318475	63.27259687479325	60.08955388660928	58.64554079810321	58.69478544781627	58.07393868428675	60.18523838861108	60.9681133307216	61.69897815856125	62.60264218355023	61.090148151510256	62.8353043820788	64.09481309388055	61.643897959331134	60.97726069329054
Bac.3.H.A.M	68.30708767140341	68.27549648722255	67.67940597152597	68.10419367185379	68.7998439711044	66.91504746661191	69.32751035955368	68.58125350013597	68.25231768831735	71.89348784006745	71.99621049100394	71.79246185205415	66.08793840525097	66.87391454082525	71.14228940042125	66.15001680258811	68.09768058442425	66.90424909211038	67.58098487816568	68.36437723694279	66.82972954145905	67.3960728548953	68.9657281578184	66.9373728575279	67.57934006090038	67.44668097773449	67.38389839083948	66.44792179974642	65.59184063286865	67.47312442542612	66.87776232713085	67.81687274617751	65.74126324556715	69.90436099005488	66.92318107747079	67.05186049400855	67.41067171267728	67.2610846398237	66.8670872157121	65.94994943062727	64.32034668278075	68.70478732083708	67.63391626095822	65.10513601400837	66.89547246552951	69.44499318526793	66.22576340025554	66.7072560358507	66.48377019019638	62.785093493687754	0.0	65.9708881083032	64.61673510844312	65.10602875131889	67.56690549846124	67.08078170790283	67.23680617039591	67.54104258854052	68.72969263276151	67.2868658629654	65.26825567707043	64.7262949151662	65.79399200404197	65.72462736662266	66.27126448371277	66.09046305509719	68.91747220106275	67.17907532520304	68.02294174928252	68.27029658153015	68.15877915103779	67.2079696145724
Bac.3.H.B.K	63.1559490053643	63.833856586377465	62.73438158602981	64.95738711622514	63.799346491972564	62.393640683565835	63.6420274003274	64.69465786268103	63.521823142163896	67.57788700772059	67.46173611296838	67.44634273535671	61.47467059487041	63.306009965865044	64.84333449558035	62.60683815516556	62.01283092570369	60.27304998884592	62.52876325682204	64.0857073682415	63.306460004598954	63.40951172210061	62.226130222202876	62.35437531055756	64.65638569247882	62.482857364211924	63.294173328666965	62.278027602006986	62.67456852702434	62.04576756886354	62.11606787307197	63.542036811790865	62.14282132234732	63.16681682438944	62.28139662270449	62.50468293711247	62.08302308817456	60.73800796368676	62.08354210433825	61.47933671319032	58.19740214514389	62.45585562336388	63.757830881820105	59.43308226793989	62.426929257937715	64.36098828373024	62.67889496115559	61.28247488835482	63.76992033860514	57.80239269190248	65.9708881083032	0.0	60.946881860023616	60.11447688687564	64.16588933182311	62.74500933894492	62.664859622804215	62.47699518180132	64.15345273276694	62.709771172859796	61.47259497367837	61.068287023868955	58.64219706473316	59.61667924360004	61.54760203435451	61.93054243804359	64.0987960813573	63.99879535084449	63.242900042531524	64.33436823528987	62.554514349651896	61.87275470952715
Bac.3.H.B.L	64.53105453331688	64.59465984876454	63.448637398524276	65.33544527096835	65.3934602101602	63.519583110993416	65.6923511344208	64.43276956913552	64.78341064259239	68.78814619795517	68.72159360780991	68.30731686760235	62.74776374859145	63.57012971898932	67.33467430473037	63.79475110493812	63.87624561095982	62.954948107727986	62.95132378018822	65.21723815907598	64.19751603870439	64.57242492255452	64.38527739402548	64.26305159404211	63.8025078452359	62.953545445764085	65.5897725949741	62.71959300489723	62.881988639351896	64.1724995684639	62.910487836518875	63.29516740774969	62.51381332938762	65.87110576741999	62.21505613493384	64.33834293658542	64.13235011376602	61.172474192055795	63.27913419824394	63.00802423114762	60.081222592095216	63.76318108959002	63.849994023223154	61.239273869412685	63.085414095818074	65.12023661497592	63.38137877540533	62.09149819908537	64.34692760197703	59.69779213109131	64.61673510844312	60.946881860023616	0.0	59.53065067468553	62.61582824269167	63.2600984188696	63.542728859391474	64.25696552250795	64.24754778272452	62.5976429613559	63.34356217509338	61.4468652712361	61.697439813868485	62.778499791681945	63.10726505176656	62.53058744834819	65.7831569024065	63.14004042442868	64.11754597608893	64.61467957086462	63.55205709076585	63.809654545640065
