SampleID	observed_features
Bac.1.H.A.K	336
Bac.1.H.A.L	353
Bac.1.H.A.M	335
Bac.1.H.B.K	407
Bac.1.H.B.L	369
Bac.1.H.B.M	333
Bac.1.H.C.K	388
Bac.1.H.C.L	413
Bac.1.H.C.M	395
Bac.1.H.D.K	875
Bac.1.H.D.L	780
Bac.1.H.D.M	775
Bac.1.P.A.K	225
Bac.1.P.A.L	298
Bac.1.P.A.M	448
Bac.1.P.B.K	274
Bac.1.P.B.L	262
Bac.1.P.B.M	245
Bac.1.P.C.K	300
Bac.1.P.C.L	342
Bac.1.P.C.M	318
Bac.1.P.D.K	300
Bac.1.P.D.L	291
Bac.1.P.D.M	246
Bac.2.H.A.K	359
Bac.2.H.A.L	309
Bac.2.H.A.M	338
Bac.2.H.B.K	305
Bac.2.H.B.L	278
Bac.2.H.B.M	284
Bac.2.H.C.K	272
Bac.2.H.C.L	389
Bac.2.H.C.M	284
Bac.2.H.D.K	359
Bac.2.H.D.L	302
Bac.2.H.D.M	291
Bac.2.P.A.K	282
Bac.2.P.A.L	260
Bac.2.P.A.M	292
Bac.2.P.B.K	272
Bac.2.P.B.L	150
Bac.2.P.B.M	310
Bac.2.P.C.K	329
Bac.2.P.C.L	181
Bac.2.P.C.M	308
Bac.2.P.D.K	349
Bac.2.P.D.L	263
Bac.2.P.D.M	230
Bac.3.H.A.K	315
Bac.3.H.A.L	173
Bac.3.H.A.M	390
Bac.3.H.B.K	175
Bac.3.H.B.L	251
Bac.3.H.B.M	216
Bac.3.H.C.K	360
Bac.3.H.C.L	312
Bac.3.H.C.M	320
Bac.3.H.D.K	295
Bac.3.H.D.L	366
Bac.3.H.D.M	279
Bac.3.P.A.K	254
Bac.3.P.A.L	238
Bac.3.P.A.M	221
Bac.3.P.B.K	204
Bac.3.P.B.L	238
Bac.3.P.B.M	263
Bac.3.P.C.K	349
Bac.3.P.C.L	324
Bac.3.P.C.M	355
Bac.3.P.D.K	381
Bac.3.P.D.L	294
Bac.3.P.D.M	263